 node, mean, sd, MC error,2.50%,median,97.50%,start,sample
M.pos[1],0.9045,0.294,0.002192,0,1,1,1001,22000
M.pos[2],0.4619,0.4985,0.003238,0,0,1,1001,22000
M.pos[3],0.7122,0.4527,0.003181,0,1,1,1001,22000
M.pos[4],0.499,0.5,0.003618,0,0,1,1001,22000
M.pos[5],0.5068,0.5,0.003909,0,1,1,1001,22000
M.pos[6],0.4969,0.5,0.003484,0,0,1,1001,22000
M.pos[7],0.2967,0.4568,0.003592,0,0,1,1001,22000
M.pos[8],0.3954,0.4889,0.003538,0,0,1,1001,22000
M.pos[9],0.8571,0.3499,0.002622,0,1,1,1001,22000
M.pos[10],0.3091,0.4621,0.003485,0,0,1,1001,22000
M.pos[11],0.5396,0.4984,0.003754,0,1,1,1001,22000
M.pos[12],0.9051,0.2931,0.001969,0,1,1,1001,22000
M.pos[13],0.5352,0.4988,0.00347,0,1,1,1001,22000
M.pos[14],0.311,0.4629,0.003542,0,0,1,1001,22000
M.pos[15],0.3418,0.4743,0.003454,0,0,1,1001,22000
M.pos[16],0.4057,0.491,0.003511,0,0,1,1001,22000
M.pos[17],0.3656,0.4816,0.003254,0,0,1,1001,22000
M.pos[18],0.9376,0.2418,0.001583,0,1,1,1001,22000
M.pos[19],0.7816,0.4132,0.003285,0,1,1,1001,22000
M.pos[20],0.5208,0.4996,0.003583,0,1,1,1001,22000
M.pos[21],0.4041,0.4907,0.003398,0,0,1,1001,22000
M.pos[22],0.3857,0.4868,0.003268,0,0,1,1001,22000
M.pos[23],0.5288,0.4992,0.003877,0,1,1,1001,22000
M.pos[24],0.3781,0.4849,0.003551,0,0,1,1001,22000
M.pos[25],0.3653,0.4815,0.003281,0,0,1,1001,22000
M.pos[26],0.6746,0.4685,0.003453,0,1,1,1001,22000
M.pos[27],0.5394,0.4984,0.003636,0,1,1,1001,22000
M.pos[28],0.7164,0.4507,0.003579,0,1,1,1001,22000
M.pos[29],0.9052,0.2929,0.002113,0,1,1,1001,22000
M.pos[30],0.6655,0.4718,0.003793,0,1,1,1001,22000
M.pos[31],0.4431,0.4968,0.003589,0,0,1,1001,22000
M.pos[32],0.7131,0.4523,0.003504,0,1,1,1001,22000
M.pos[33],0.9985,0.03928,2.59E-04,1,1,1,1001,22000
M.pos[34],0.9305,0.2544,0.001917,0,1,1,1001,22000
M.pos[35],0.531,0.499,0.003598,0,1,1,1001,22000
M.pos[36],0.4092,0.4917,0.0035,0,0,1,1001,22000
M.pos[37],0.2948,0.456,0.003445,0,0,1,1001,22000
M.pos[38],0.8135,0.3895,0.003032,0,1,1,1001,22000
M.pos[39],0.7973,0.402,0.002791,0,1,1,1001,22000
M.pos[40],0.7241,0.447,0.003115,0,1,1,1001,22000
M.pos[41],0.9871,0.1129,7.42E-04,1,1,1,1001,22000
